Pengesahan | ___ menghalang penipuan
Kerajaan | Penipu mungkin menyamar sebagai pegawai ___
Pelaburan | Tawaran ___ yang terlalu baik untuk jadi kenyataan berisiko
Pancingan | Cubaan ___ Data sering meniru sumber yang dipercayai
Perbankan | Sentiasa lindungi maklumat ___ anda
Laluan | Jangan sekali-kali berkongsi Kata ___ anda
Mencurigakan | Elakkan mengklik pada pautan yang ___
Peniruan | Penipuan ___ melibatkan identiti palsu
Luar | Panggilan ___ Negara boleh jadi berkaitan dengan penipuan
Pemindahan | Berhati-hati dengan permintaan ___ wang
Perisai | Gunakan alat ___ Penipuan untuk menghalang penipuan
Talian | Hubungi ___ Hotline untuk melaporkan penipuan
Laporan | ___ penipuan kepada pihak berkuasa
Polis | Laporkan penipuan kepada ___
Penyamaran | ___ memperdaya anda dengan identiti penghantar palsu
Hasad |Perisian ___ boleh menjangkiti peranti anda dan mencuri data
Penipu | ___ cuba menipu anda untuk menyerahkan data
Sekat | ___ kenalan yang tidak dikenali atau tidak dipercayai
Penipuan | Aktiviti ___ boleh kelihatan sah
Amaran | Sentiasa kekal ___ terhadap tingkah laku mencurigakan
